en;nl;fr;de;sv;pl;No;es
State;Provincie;Région;Bundesland;Land;Kraj;Land;Estado
Archive quotations after publishing;Offertes archiveren na publicatie;Archiver les devis après leur publication;Angebot nach Veröffentlichung archivieren;Arkivera offerter efter offentliggörandet.;Archiwizuj ofertę po opublikowaniu;Tilbudet arkiveres etter publisering;Archivar citas después de publicar
Quotations that are created with a previous published version will get the status 'Archived' and can no longer be edited.;Offertes die zijn gemaakt met een eerder gepubliceerde versie krijgen de status 'Gearchiveerd' en kunnen niet meer worden bewerkt.;"Les offres créées à partir d'une version publiée précédente obtiennent le statut """"Archivé"""" et ne peuvent plus être modifiées.";Angebote die erstellt wurden mit einer ehemals veröffentlichten Version, erhalten den Status „Archiviert“ und können nicht mehr bearbeitet werden.;"Tidigare offentliggjorda offerter kommer att få statusen """"Arkiverad"""" och kan inte längre redigeras.";Oferty utworzone za pomocą poprzedniej wersji otrzymają status „Zarchiwizowane” i nie będzie można ich już edytować.;Tilbud som er opprettet med en tidligere publisert versjon vil få statusen 'Arkivert' og kan ikke lenger redigeres.;Las cotizaciones que se crean con una versión publicada anterior obtendrán el estado 'Archivado' y ya no se podrán editar.
Note: copying and revising archived quotations may cause broken configurations. Please use the configuration code if you want to use the same configuration that is placed in an archived quotation.;Opmerking: het kopiëren en herzien van gearchiveerde offertes kan leiden tot defecte configuraties. Gebruik de configuratiecode als u dezelfde configuratie wilt gebruiken die in een gearchiveerde offerte is geplaatst.;Remarque : la copie et la révision des devis archivées peuvent entraîner la rupture des configurations. Veuillez utiliser le code de configuration si vous souhaitez utiliser la même configuration que celle placée dans un devis archivé.;Hinweis: Das Kopieren und Überarbeiten von archivierten Angeboten kann zu Fehlkonfigurationen führen. Verwenden Sie den Konfigurationscode, wenn Sie dieselbe Konfiguration verwenden möchten, die im Angebotsarchiv eingeordnet wurde.Drücken Sie zum Aktivieren der Screenreader-Unterstützung Ctrl+Alt+Z. Drücken Sie Ctrl+Schrägstrich, um weitere Informationen zu Tastenkombinationen zu erhalten.;Obs: kopiering och revidering av arkiverade offerter kan leda till att konfigurationen inte längre fungerar. Använd konfigurationskoden om du vill behålla samma konfiguration som finns i en arkiverad offert.;Uwaga: kopiowanie i poprawianie zarchiwizowanych ofert może spowodować uszkodzenie konfiguracji. Użyj kodu konfiguracji, jeśli chcesz użyć tej samej konfiguracji, która jest umieszczona w zarchiwizowanej ofercie.;Merk: Kopiering og revidering av arkiverte tilbud kan føre til ødelagte konfigurasjoner. Bruk konfigurasjonskoden hvis du vil bruke den samme konfigurasjonen som finnes i et arkivert tilbud.;Nota: copiar y revisar cotizaciones archivadas puede causar configuraciones rotas. Utilice el código de configuración si desea utilizar la misma configuración que se coloca en una cotización archivada.
Default status for archiving quotations;Standaardstatus voor het archiveren van offertes;Statut par défaut pour les devis archivés;Standardstatus für die Archivierung von Angeboten;Standardstatus vid arkivering av offerter.;Domyślny status archiwizacji ofert;Standard status for arkivering av tilbud;Estado predeterminado para archivar cotizaciones
Default status for revised quotations;Standaardstatus voor herziene offertes;Statut par défaut pour les devis révisés;Standardstatus für überarbeitete Angebote;Standardstatus vid revidering av offerter.;Stan domyślny dla poprawionych ofert;Standard status for reviderte tilbud;Estado predeterminado para cotizaciones revisadas
Default status for expired quotations;Standaardstatus voor verlopen offertes;Statut par défaut des offres expirées;Standardstatus für abgelaufene Angebote;Standardstatus på förfallna offerter.;Stan domyślny dla wygasłych ofert;Standard status for utlpte tilbud;Estado predeterminado para cotizaciones vencidas
Default CRM account;Standaard CRM-account;Compte CRM par défaut;Standard CRM-Konto;Standard CRM-konto.;Domyślne konto CRM;Standard CRM-konto;Cuenta CRM predeterminada
Select a default CRM that is automatically set in the quotation as the seller field.;Selecteer een standaard-CRM die automatisch in de offerte wordt ingesteld als verkoper.;Sélectionnez un CRM par défaut qui est automatiquement défini dans les devis comme champ du vendeur.;Wählen Sie ein Standard-CRM, das im Angebot automatisch als Verkäufer eingeordnet wird.;Välj ett standard CRM som automatiskt ställs in som säljare i offerten.;Wybierz domyślny CRM, który jest automatycznie ustawiany w ofercie jako pole sprzedawcy.;Velg en standard CRM som automatisk angis som selgerfelt i tilbudet.;Seleccione un CRM predeterminado que se establezca automáticamente en la cotización como el campo del vendedor.
Hide total quotation discount field;Verberg totale offertekorting veld;Masquer le champ de remise totale de l'devis;Blende Schirmfeld des Gesamtangebotsrabatt aus;Dölj totalrabattfältet i offerten.;Ukryj pole rabatu dla oferty;Skjul feltet for den totalrabatten i tilbudet;Ocultar campo de descuento de cotización total
Enable this if you want to hide the total discount field on the quotations screen.;Schakel dit in als u het totale korting veld op het offertescherm wilt verbergen.;Activez cette option si vous souhaitez masquer le champ de la remise totale sur les pages des devis;Aktivieren Sie dies, wenn Sie das Gesamtrabattfeld auf dem Angebotsbildschirm ausblenden möchten;Slå på den här fliken om du vill dölja totalrabattfältet i offerten.;Włącz tę opcję, jeśli chcesz ukryć pole całkowitego rabatu na ekranie oferty.;Slå på dette feltet om du vil skjule totalrabatten i tilbudet.;Habilite esto si desea ocultar el campo de descuento total en la pantalla de cotizaciones.
Hide quotation margin columns;Verberg kolommen voor offertemarge;Masquer les colonnes de marge des devis;Kolumnen des Angebotspielraums ausblenden;Dölj marginalkolumn i offerten.;Ukryj kolumny marży oferty;Skjule kolonnene for tilbudsmarger;Ocultar columnas de margen de cotización
Enable this if you want to hide the margin columns in the Quotation lines table. (By default margin columns are hidden behind the chevron button in the far right of the table.);Schakel dit in als u de margekolommen in de offerteregels tabel wilt verbergen. (Standaard zijn margekolommen verborgen achter de chevronknop helemaal rechts in de tabel.);Activez cette option si vous souhaitez masquer les colonnes de marge dans le tableau des lignes de devis. (Par défaut, les colonnes de marge sont masquées derrière le bouton en forme de chevron à l'extrême droite du tableau).;Aktivieren Sie dies, wenn Sie den Kolumnenspieraum in der Angebotszeilentabelle ausblenden möchten. (Standardmäßig werden die Randspalten hinter der Chevron-Schaltfläche ganz rechts in der Tabelle ausgeblendet.);Slå på knappen om du vill dölja marginalkolumnerna i tabellen Offertlinjer. (Som standard döljs marginalkolumnerna bakom chevron knappen längst till höger i tabellen).;Włącz tę opcję, jeśli chcesz ukryć kolumny marży w tabeli Oferty. (Domyślnie kolumny marży są ukryte za przyciskiem w kształcie jodełki po prawej stronie tabeli).;Aktiver dette hvis du vil skjule margkolonnene i Tilbudslinjer-tabellen. (Standard margkolonnene er skjult bak chevron-knapp helt til høyre i tabellen.);Habilite esto si desea ocultar las columnas de margen en la tabla Líneas de cotización. (De forma predeterminada, las columnas de margen están ocultas detrás del botón de cheurón en el extremo derecho de la tabla).
